time,text,event
Fri Apr 10 04:48:24 +0000 2009,RT @humbertomena: balacera ubico hacia la indepe #mtyfollow posible 2 granadazos,
Fri Jul 18 19:11:35 +0000 2008,"Para variar, se escuchan balazos desde hace buen rato en la zona sur. #balacera #mtyfollow 22:32",
Mon Jul 13 17:20:33 +0000 2009,RT @mariequirozl: #mtysur balacera por Panuco y Rio Nazas con cuidado gente!!!! @BalaceraMTY,
Fri Sep 18 22:21:00 +0000 2009,@karengondue Mega Balacera sur de mty #mtyfollow #mtysos lazaro cardenas 1436 horrible :( // También la estoy escuchando desde la Col. Tec.,
Sat May 03 07:53:57 +0000 2008,RT @mariequirozl: #mtysur balacera por Panuco y Rio Nazas con cuidado gente!!!! @BalaceraMTY,
Sat Oct 03 15:06:34 +0000 2009,"RT @paranoide: Para variar, se escuchan balazos desde hace buen rato en la zona sur. #balacera #mtyfollow 22:32",
Fri May 28 06:56:45 +0000 2010,@Cicmty esta muy intensa la balacera al parecer es en rio nazas altura de la Roma.. Siguen escuchandose.. Precaucion no circular la zona,
Wed Jun 30 21:10:40 +0000 2010,RT @mariequirozl: #mtysur balacera por Panuco y Rio Nazas con cuidado gente!!!! @BalaceraMTY,
Fri Oct 22 00:57:22 +0000 2010,RT @armendariz12: @Cicmty esta muy intensa la balacera al parecer es en rio nazas altura de la Roma.. Siguen escuchandose.. Precaucion n ...,
Mon Jan 11 19:40:07 +0000 2010,"RT @paranoide: Para variar, se escuchan balazos desde hace buen rato en la zona sur. #balacera #mtyfollow 22:32",
Mon Jan 11 19:40:07 +0000 2010,RT @remediosvaro69: RT @mimy_sam: balacera muy fuerte se escucha Col Roma!! Precaucion! #mtyfollow,
Sat Nov 28 04:13:43 +0000 2009,"RT @retioMTY: RT @Cano_INFO7: Reportan que continua escuchándose #balacera en zona sur de #monterrey altura de río nazas, co... | http:/ ...",
Tue Oct 26 04:43:19 +0000 2010,#UsoTwitterPara estar informada y hay o no balacera #mtyfollow  :/,
Wed Aug 01 18:38:07 +0000 2012,#chiapas #sinaloa #df si se puso muy fea la balacera de ayer http://t.co/YWnnpsOh #mty,
Mon Oct 01 11:51:53 +0000 2012,"Persecución y balacera,calle Teresita y Hector Caballero,col.Hector Caballero en Juarez N.L. #Mtyfollow #Monterrey @alertamty_com @Cicmty",
Thu Dec 15 19:49:46 +0000 2011,"no mamen, puta balacera #tampico #monterrey http://t.co/nn3mBTnS",
Sun Mar 13 06:00:21 +0000 2011,RT @ELNORTECOM: Abaten en Juárez a uno en balacera  http://t.co/fUJ0mtsS // 14:42 #mtyfollow,
Fri Jul 01 19:03:59 +0000 2011,"Cae la ""La Ardilla"", líder de los Zetas en Nuevo Laredo 
balacera enfrentamiento ejecutan decapitan video #mtyfollow
http://t.co/nR5zIaRJ",
Thu May 13 03:23:10 +0000 2010,"RT @lnfoNarco: Cae la ""La Ardilla"", líder de los Zetas en Nuevo Laredo 
balacera enfrentamiento ejecutan decapitan video #mtyfollow
http ...",
