time,text,event
Mon Jun 21 00:33:56 +0000 2010,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Sun May 15 17:14:08 +0000 2011,RT @LaTardeweb: #Pereira Balacera en una finca de Morelia dejó un muerto http://t.co/bExUDsWf,
Sat May 05 22:50:34 +0000 2012,"""Al final, lo que queda es abrazarse, confiar en el otro, amar y dejarse amar en medio de la balacera que es la vida""",
Wed Jan 20 19:38:30 +0000 2010,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Sat Dec 18 12:52:20 +0000 2010,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO, TE VAN A LASTIMAR!",
Mon Nov 02 20:47:53 +0000 2009,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO, TE VAN A LASTIMAR!.",
Wed Jan 26 14:59:39 +0000 2011,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Sat Mar 24 06:33:03 +0000 2012,RT @ChicoNutella: Ya se extrañaba en Tabasco ese dulce olor a balacera cada 2 días.,
Fri Aug 12 19:14:09 +0000 2011,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Sun Nov 18 20:49:23 +0000 2012,ojala no me coja una balacera por aya,
Mon Jan 10 06:04:52 +0000 2011,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Mon Jun 14 20:20:08 +0000 2010,Hubo una balacera - ¿Cual es el saldo de los muertos? - No sé. no revisamos sus celulares xDDDD *Esquivando tomates*,
Wed Sep 26 04:41:26 +0000 2012,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Thu Jul 26 02:34:06 +0000 2012,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
